"SLES_022.38
SLES_022.38_T
SLES_022.38/ANZ";Tomb Raider - The Last Revelation (Europe, Australia);
SCES_038.21/GER_P;Stuart Little 2 (Germany);
SLUS_010.60;JoJo's Bizarre Adventure (USA);
SLUS_005.43;Colony Wars (USA) (Disc 1);
SLUS_005.54;Colony Wars (USA) (Disc 2);
SCED_008.23;Euro Demo 27 (Europe);
SLES_020.25;Legacy of Kain - Soul Reaver (Germany);
PBPX_950.08;Demo One (Version 7) (Europe) (En,Fr,De,Es,It);
SCES_038.84;Firebugs (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi);
SLPM_866.56;Raiden DX (Japan) (Major Wave);
"SLPS_016.88
SLPS_033.11";R-Type Delta (Japan);
"SCPS_454.12
SLPM_862.47
SLPM_864.70
SLPM_873.24";Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 1);
"SCPS_454.13
SLPM_862.48
SLPM_864.71
SLPM_873.25";Metal Gear Solid - Integral (Japan, Asia) (En,Ja) (Disc 2);
"SCPS_454.14
SLPM_862.49
SLPM_864.72
SLPM_873.26";Metal Gear Solid - Integral (Japan, Asia) (Disc 3) (VR-Disc);
SLUS_003.13;Gunship (USA);
SCES_007.43;PaRappa the Rapper - The Hip Hop Hero (Europe) (En,Fr,De,Es,It);
SCES_001.11;Jumping Flash! 2 (Europe);
SLES_029.93;Driver 2 - Back on the Streets (Europe) (Disc 1);
SLES_129.93;Driver 2 - Back on the Streets (Europe) (Disc 2);
SLUS_002.42;Crow, The - City of Angels (USA);
SCES_017.36;NHL FaceOff 99 (Europe);
SLES_001.32;Doom (Europe);
SCES_012.37;Tekken 3 (Europe) (Alt);
SLUS_008.77;R-Type Delta (USA);
SLUS_009.22;Dino Crisis (USA);
SLUS_012.79;Dino Crisis 2 (USA);
SCES_002.43;Namco Museum Vol. 1 (Europe);
SCES_004.41;Carnage Heart (Europe) (En,Fr,De,Es,It);
SLES_035.15;Spec Ops - Covert Assault (Europe) (En,Fr,De,Es,It);
SLES_109.74;Resident Evil 2 (Germany) (Disc 2);
"SCES_020.60#
SCES_020.60_RUS
SCES_020.60/P
SCES_020.60/T";Destruction Derby Raw (Europe) (En,Fr,De,Es,It);
SLUS_003.30;Mortal Kombat Trilogy (USA) (Rev 1);
SLUS_009.22GH;Dino Crisis (USA) (Rev 1);
"SLES_021.93
SLES_021.93#";WCW Mayhem (Europe);
SLES_005.28;Mortal Kombat Trilogy (Europe);
