ID,title
PAPX-90516,Jak II: Jak x Daxter 2
PAPX-90517,Prince of Persia: Jikan no Suna
PAPX-90518,Gacha Mecha Stadium: Saru Battle
PAPX-90519,Doko Demo Issho: Toro to Ippai
PAPX-90521,Waga Ryuu o Miyo: Pride of the Dragon Peace
PAPX-90522,Genji
PAPX-90523,Gran Turismo 4: Online Test Version
PAPX-90524,Wild Arms: The Vth Vanguard
PBGP-0039,Galaxy Angel II: Zettairyouiki no Tobira: Deluxe Pack
PBGP-0050,Gift: Prism [Limited Edition]
PBGP-0053,Meitantei Evangelion: Premium Box
PBGP-0054,Meitantei Evangelion: Tokusouban
PBGP-0056,Galaxy Angel II: Mugen Kairou no Kagi: Deluxe Pack
PBGP-0057,Shinseiki Evangelion: Battle Orchestra: Deluxe Pack
PBGP-0060,Galaxy Angel II: Mugen Kairou no Kagi: Zettai Mugen no Ishizue Set
PBGP-0061,Suika A.S+ Eternal Name [First Press Limited Edition]
PBGP-0062,Princess Concerto [Deluxe Pack]
PBGP-0063,Saishuu Shiken Kujira: Alive [First Print Limited Edition]
PBGP-0065,D.C.: Da Capo: The Origin [First Print Limited Edition]
PBGP-0074,Galaxy Angel II: Eigou Kaiki no Koku: Deluxe Pack
PBGP-0075,Galaxy Angel II: Eigou Kaiki no Koku: Complete Set
PBGP-0076,Clear: Atarashii Kaze no Fuku Oka de [Limited Edition]
PBPX-95201,Utility Disc
PBPX-95202,Utility Disc Version 1.01
PBPX-95203,Utility Disc Version 1.01
PBPX-95204,Demo Disc
PBPX-95205,Demo Disc
PBPX-95206,DVD Player Version 2.01
PBPX-95207,DVD Player Version 2.10
PBPX-95208,DVD Player Version 2.10
PBPX-95209,DVD Player Version 2.10
PBPX-95210,DVD Player Version 2.10
PBPX-95211,HDD Utility Disc Version 1.00
PBPX-95216,HDD Utility Disc
PBPX-95218,DVD Player Version 2.12
PBPX-95219,DVD Player Version 2.14
PBPX-95220,DVD Player Version 2.14
PBPX-95221,DVD Player Version 2.12
PBPX-95222,DVD Player Version 2.14
PBPX-95223,DVD Player Version 2.14
PBPX-95224,DVD Player Version 2.16
PBPX-95228,DVD Player Version 3.00
PBPX-95237,HDD Utility Disc
PBPX-95239,Online Start-Up Disc v3.0
PBPX-95242,Online Start-Up Disc v3.0
PBPX-95245,Online Start-Up Disc v1.0
PBPX-95246,Online Start-Up Disc v3.5: Broadband Only
PBPX-95247,Online Start-Up Disc v3.5: Broadband Only
PBPX-95248,Online Start-Up Disc 4.0: Broadband Only
PBPX-95250,Online Start-Up Disc v1.0
PBPX-95251,Online Start-Up Disc 4.0: Broadband Only
PBPX-95501,PS2 Linux Beta Release 1
PBPX-95502,Gran Turismo 3: A-Spec
PBPX-95503,Gran Turismo 3: A-Spec
PBPX-95506,Demo Disc
PBPX-95507,Linux (for PlayStation 2) Release 1.0 (Disc 1) (Runtime Environment)
PBPX-95508,Linux (for PlayStation 2) Release 1.0 (Disc 2) (Software Packages)
PBPX-95509,Linux (for PlayStation 2) Release 1.0 (Disc 1) (Runtime Environment)
PBPX-95510,Linux (for PlayStation 2) Release 1.0 (Disc 2) (Software Packages)
PBPX-95514,Demo Disc
PBPX-95516,Ratchet & Clank
PBPX-95517,Network Adaptor Start-Up Disc
PBPX-95519,Network Adaptor Start-Up Disc v2.0
PBPX-95520,Demo Disc
PBPX-95522,Kidou Senshi Z Gundam: A.E.U.G. vs. Titans
PBPX-95523,Gran Turismo 4: Prologue
PBPX-95524,Gran Turismo 4: Prologue
PBPX-95525,Final Fantasy XII
PBPX-95601,Gran Turismo 4
PCPX-96301,I.Q Remix+: Intelligent Qube
PCPX-96302,Fantavision
PCPX-96303,6-gatsu Hatsubai Title Promotion Disc: Aconcagua / Boku no Natsuyasumi / TVDJ
PCPX-96304,Scandal
PCPX-96305,Play-Pre Plus 004: 2000 June (Disc 2)
PCPX-96306,Bikkuri Mouse
PCPX-96310,X-treme Racing SSX
PCPX-96311,Gran Turismo 3: A-Spec: Tentou Shiyuu Disc
PCPX-96312,Gran Turismo 3: A-Spec: Autobacs Tentou Shiyuu Disc
PCPX-96314,The Sky Odyssey
PCPX-96315,Phase Paradox
PCPX-96316,Phase Paradox
PCPX-96317,Ka
PCPX-96318,Rimococoron
PCPX-96319,Piposaru 2001
PCPX-96320,PaRappa the Rapper 2
PCPX-96321,SkyGunner
PCPX-96322,Ico
PCPX-96323,Toro to Kyuujitsu
PCPX-96324,Dual Hearts
PCPX-96328,3 Title Special Disc: Saru! Get You! 2 / PoPoLoCrois: Hajimari no Bouken / Boku no Natsuyasumi 2
PCPX-96330,Arc the Lad: Seirei no Tasogare: Premiere Disc
PCPX-96501,PlayStation 2 Debut Collection
PCPX-96603,Dark Cloud
PCPX-96605,MiruMiru 2000-nen 12-gatsudo Juchuugou
PCPX-96606,Play-Pre 2 Volume 0: 2001 February
PCPX-96607,2000-2001 Winter Lineup
PCPX-96608,MiruMiru 2001-nen 1-gatsudo Juchuugou
PCPX-96609,Gran Turismo 3: A-Spec: Tentou Shiyuu Disc Vol. 2
PCPX-96610,MiruMiru 2001-nen 2-gatsudo Juchuugou
PCPX-96611,Play-Pre 2 Volume 1: 2001 April
PCPX-96612,MiruMiru 2001-nen 3-gatsudo Juchuugou
PCPX-96613,MiruMiru 2001-nen 4-gatsudo Juchuugou
PCPX-96614,MiruMiru 2001-nen 5-gatsudo Juchuugou
PCPX-96615,MiruMiru 2001-nen 6-gatsudo Juchuugou
PCPX-96616,Play-Pre 2 Volume 2: 2001 August
PCPX-96617,MiruMiru 2001-nen 8-gatsudo Juchuugou
PCPX-96618,MiruMiru 2001-nen 7-gatsudo Juchuugou
PCPX-96619,Genshi no Kotoba
PCPX-96620,MiruMiru 2001-nen 9-gatsudo Juchuugou
PCPX-96621,MiruMiru 2001-nen 10-gatsudo Juchuugou
PCPX-96622,Play-Pre 2 Volume 3: 2001 December
PCPX-96624,Gran Turismo Concept: 2001 Tokyo
PCPX-96625,Play-Pre 2 Volume 4: 2002 April
PCPX-96626,PlayStation Index (DVD-ROM-ban): PlayStation 2 Official Soft Catalog 2002 April
PCPX-96627,2002 Natsu no Osusume Soft Otameshi Disc
PCPX-96628,Play-Pre 2 Volume 5: 2002 August
PCPX-96629,Fuyu no Osusume Soft Otameshi Disc 2002
PCPX-96630,Play-Pre 2 Volume 6: 2002 December
PCPX-96631,Koedashite Ikou. Taikenban
PCPX-96632,Play-Pre 2 Volume 7: 2003 April
PCPX-96633,Play-Pre 2 Volume 7: 2003 April: CM Collection
PCPX-96634,Gran Turismo: Subaru Driving Simulator Version
PCPX-96635,Play-Pre 2 Volume 8: 2003 August
PCPX-96636,Siren
PCPX-96638,EyeToy: Play
PCPX-96639,Play-Pre 2 Volume 9: 2003 December
PCPX-96641,Play-Pre 2 Volume 10: 2004 April
PCPX-96646,Play-Pre 2 Volume 11: 2004 August
PCPX-96649,Gran Turismo 4: First Preview
PCPX-96653,Ratchet & Clank 3
PCPX-96655,Play-Pre 2 Volume 12: 2004 December
PCPX-96656,"Play-Pre 2 Volume 12: 2004 December: ""PSP"" Movie Collection & CM Collection"
PCPX-96657,Saru! Get You! 3
PCPX-98017,Ratchet & Clank 4th: Giri Giri Ginga no Giga Battle
PCPX-98041,Saru! Get You! Million Monkeys
PCPX-98042,Minna no Tennis
PDPX-99109,DVD Player Version 3.04
PERSONA-01,Persona 3 [Konamistyle Special Edition]
PERSONA-02,Persona 3 FES [Independent Starting Version] [Konamistyle Special Edition]
PIO-05101,Angel Wish: Kimi no Egao ni Chu! [Special Edition]
PIO-06103,Jewels Ocean: Star of Sierra Leone [Special Pack]
PIO-07104,Ouka Kokoro Kagayakaseru Sakura [Limited Edition]
PIO-07105,Ojousama Kumikyoku: Sweet Concert [Special Pack Edition]
PKP2-00702,Pandora: Kimi no Namae o Boku wa Shiru [Limited Edition]
PSXC-00201,DESR-7000/DESR-5000 Sen'you: PSX Update Disc Ver. 1.10
PSXC-00202,DESR-7000/DESR-5000 Sen'you: PSX Update Disc Ver. 1.20
PSXC-00203,DESR-7000/DESR-5000/DESR-7100/DESR-5100 Sen'you: PSX Update Disc Ver. 1.31
PSXC-00204,DESR-7500/DESR-5500/DESR-7700/DESR-5700 Sen'you: PSX Update Disc Ver. 2.11
PUPX-93033,PlayStation Seizou Kensa-you Disc 3 CD-ROM US-ban Ver1.1
ROSE-00001,Crimson Empire [Deluxe Edition]
SCAJ-10001,Makai Senki Disgaea
SCAJ-10003,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri
SCAJ-10004,Time Crisis II (Playstation 2 The Best)
SCAJ-10006,Taiko no Tatsujin: Appare Sandaime
SCAJ-10007,Taiko no Tatsujin: Waku Waku Anime Matsuri
SCAJ-10008,Taiko no Tatsujin: Atsumare! Matsuri da!! Yondaime
SCAJ-10009,Psikyo Shooting Collection Vol.1: Strikers 1945 1&2
SCAJ-10010,Mahjong Party: Gen Shuizhe Meinü Dajiquan
SCAJ-10011,Taiko no Tatsujin: Go! Go! Godaime
SCAJ-10012,Taiko Drum Master
SCAJ-10013,Taiko no Tatsujin: Tobikkiri! Anime Special
SCAJ-10014,Taiko no Tatsujin: Wai Wai Happy Muyome
SCAJ-10015,Taiko no Tatsujin: Doka! to Oomori Nanadaim
SCAJ-15076,EyeToy: FuriFuri Dance Tengoku
SCAJ-20001,Ratchet & Clank
SCAJ-20002,Gallop Racer 6: Revolution
SCAJ-20003,Argus no Senshi
SCAJ-20004,.Hack Shinsoku Osen Vol.3
SCAJ-20005,Guilty Gear XX: The Midnight Carnival
SCAJ-20006,Gunvarl Collection with Time Crisis
SCAJ-20007,XI [sái]: XI-Go
SCAJ-20008,V-Rally 3
SCAJ-20009,Herdy Gerdy
SCAJ-20010,Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman
SCAJ-20011,Armored Core 3: Silent Line
SCAJ-20012,Venus & Braves
SCAJ-20013,MotoGP 3
SCAJ-20015,Shin Megami Tensei III: Nocturne
